street,level,precip,Libur,day,ROAD_CLOSED
Dulatip,3,0.018,0,Thursday,0
Elang Raya,3,0.018,0,Thursday,0
Embah Jaksa,1,0.018,0,Thursday,0
Exit Kopo/Soreang,4,0.018,0,Thursday,0
Flyover Antapani,3,0.018,0,Thursday,0
Flyover Kiaracondong,2,0.018,0,Thursday,0
Gagak,2,0.018,0,Thursday,0
Gamal Abdel Nasser,3,0.018,0,Thursday,0
Gandapura,2,0.018,0,Thursday,0
Ganesha,4,0.018,0,Thursday,0
Gang Haji Mesri,2,0.018,0,Thursday,0
Gang Suniaraja,4,0.018,0,Thursday,0
Gardujati,3,0.018,0,Thursday,0
Garuda,3,0.018,0,Thursday,0
Gatot Subroto,3,0.018,0,Thursday,0
Gede Bage,2,0.018,0,Thursday,0
Gegerkalong Girang,1,0.018,0,Thursday,0
Gegerkalong Hilir,2,0.018,0,Thursday,0
Gegerkalong Tengah,2,0.018,0,Thursday,0
Gempol Sari,2,0.018,0,Thursday,0
Gerbang Tol Buah Batu,2,0.018,0,Thursday,0
Gerbang Tol Gede Bage,5,0.018,0,Thursday,1
Gerbang Tol Kopo,4,0.018,0,Thursday,0
Gerbang Tol Mohammad Toha,3,0.018,0,Thursday,0
Gerbang Tol Pasir Koja,3,0.018,0,Thursday,0
Gerbang Tol Pasteur 2,3,0.018,0,Thursday,0
Golf Barat,3,0.018,0,Thursday,0
Golf Raya,2,0.018,0,Thursday,0
Gudang Selatan,4,0.018,0,Thursday,0
Gudang Utara,3,0.018,0,Thursday,0
Guntur,4,0.018,0,Thursday,0
Guntursari Wetan,3,0.018,0,Thursday,0
HOS Cokroaminoto,3,0.018,0,Thursday,0
Haji Hasan,4,0.018,0,Thursday,0
Haji Samsudin,3,0.018,0,Thursday,0
Haji Tatang Sumantri,4,0.018,0,Thursday,0
Hasanudin,3,0.018,0,Thursday,0
Hegarmanah,3,0.018,0,Thursday,0
Holis,2,0.018,0,Thursday,0
Ibu Inggit Garnasih,2,0.018,0,Thursday,0
Indrayasa,3,0.018,0,Thursday,0
Inhoftank,3,0.018,0,Thursday,0
Ir Haji Juanda,2,0.018,0,Thursday,0
Istana Pasteur Regency,3,0.018,0,Thursday,0
Jalan ABC,2,0.018,0,Thursday,0
Jalan Aceh,2,0.018,0,Thursday,0
Jalan Arcamanik Sindanglaya,2,0.018,0,Thursday,0
Jalan Banda,2,0.018,0,Thursday,0
Jalan Baranangsiang,4,0.018,0,Thursday,0
Jalan Belitung,3,0.018,0,Thursday,0
Jalan Bengawan,2,0.018,0,Thursday,0
Jalan Bogor,2,0.018,0,Thursday,0
Jalan Burangrang,3,0.018,0,Thursday,0
Jalan Cemara,2,0.018,0,Thursday,0
Jalan Cibadak,3,0.018,0,Thursday,0
Jalan Cilaki,4,0.018,0,Thursday,0
Jalan Cilamaya,3,0.018,0,Thursday,0
Jalan Ciliwung,4,0.018,0,Thursday,0
Jalan Cimandiri,3,0.018,0,Thursday,0
Jalan Cimanuk,3,0.018,0,Thursday,0
Jalan Cimuncang,2,0.018,0,Thursday,0
Jalan Cisokan,2,0.018,0,Thursday,0
Jalan Citarum,3,0.018,0,Thursday,0
Jalan Galunggung,3,0.018,0,Thursday,0
Jalan Gunung Agung,4,0.018,0,Thursday,0
Jalan Gunung Batu,3,0.018,0,Thursday,0
Jalan Gunung Kareumbi,3,0.018,0,Thursday,0
Jalan Indramayu,4,0.018,0,Thursday,0
Jalan Jakarta,2,0.018,0,Thursday,0
Jalan Jawa,2,0.018,0,Thursday,0
Jalan Jurang,3,0.018,0,Thursday,0
Jalan Kebonjati,3,0.018,0,Thursday,0
Jalan Kuningan Raya,4,0.018,0,Thursday,0
Jalan Lombok,3,0.018,0,Thursday,0
Jalan Malabar,2,0.018,0,Thursday,0
Jalan Natuna,3,0.018,0,Thursday,0
Jalan Pasar Induk,3,0.018,0,Thursday,0
Jalan Progo,3,0.018,0,Thursday,0
Jalan Purwakarta,2,0.018,0,Thursday,0
